DTYPE,code,displayValue,productCd,countryCd
CountryLookupValue,A1,Abattoir Worker,,IE
CountryLookupValue,A2,Accommodation Officer,,IE
CountryLookupValue,A3,Account Executive,,IE
CountryLookupValue,A4,Account Manager,,IE
CountryLookupValue,A5,Accountant,,IE
CountryLookupValue,A6,Accounts Assistant,,IE
CountryLookupValue,A7,Accounts Clerk,,IE
CountryLookupValue,A8,Accounts Manager,,IE
CountryLookupValue,A9,Accounts Staff,,IE
CountryLookupValue,A10,Acoustic Engineer,,IE
CountryLookupValue,A11,Actor,,IE
CountryLookupValue,A12,Actress,,IE
CountryLookupValue,A13,Actuary,,IE
CountryLookupValue,A14,Acupuncturist,,IE
CountryLookupValue,A15,Administration Assistant,,IE
CountryLookupValue,A16,Administration Clerk,,IE
CountryLookupValue,A17,Administration Manager,,IE
CountryLookupValue,A18,Administration Staff,,IE
CountryLookupValue,A19,Administrator,,IE
CountryLookupValue,A20,Advertising Agent,,IE
CountryLookupValue,A21,Advertising Assistant,,IE
CountryLookupValue,A22,Advertising Clerk,,IE
CountryLookupValue,A23,Advertising Contractor,,IE
CountryLookupValue,A24,Advertising Executive,,IE
CountryLookupValue,A25,Advertising Manager,,IE
CountryLookupValue,A26,Advertising Staff,,IE
CountryLookupValue,A27,Aerial Erector,,IE
CountryLookupValue,A28,Aerobic Instructor,,IE
CountryLookupValue,A29,Aeronautical Engineer,,IE
CountryLookupValue,A30,Agister,,IE
CountryLookupValue,A31,Agricultural Consultant,,IE
CountryLookupValue,A32,Agricultural Contractor,,IE
CountryLookupValue,A33,Agricultural Engineer,,IE
CountryLookupValue,A34,Agricultural Merchant,,IE
CountryLookupValue,A35,Agricultural Worker,,IE
CountryLookupValue,A36,Agronomist,,IE
CountryLookupValue,A37,Air Force - Nco/Commissioned Officer,,IE
CountryLookupValue,A38,Air Force - Other Ranks,,IE
CountryLookupValue,A39,Air Traffic Controller,,IE
CountryLookupValue,A40,Aircraft - Cabin Crew,,IE
CountryLookupValue,A41,Aircraft - Flight Deck Crew,,IE
CountryLookupValue,A42,Aircraft Buyer,,IE
CountryLookupValue,A43,Aircraft Designer,,IE
CountryLookupValue,A44,Aircraft Engineer,,IE
CountryLookupValue,A45,Aircraft Maintenance Engineer,,IE
CountryLookupValue,A46,Aircraft Surface Finisher,,IE
